#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
rs3917902	17:34252304-34252304	A	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000225831.4	protein_coding	-	-	-	-	-	-	-	-	-	rs3917902	2981	1	-	HGNC	HGNC:10618	NM_002982.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
rs3917902	17:34252304-34252304	T	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000225831.4	protein_coding	-	-	-	-	-	-	-	-	-	rs3917902	2981	1	-	HGNC	HGNC:10618	NM_002982.4	-	1	P1	-	-	0.0821	-	-	-	-	-	-	-	-	-
rs3917902	17:34252304-34252304	A	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000580907.6	protein_coding	-	-	-	-	-	-	-	-	-	rs3917902	2970	1	-	HGNC	HGNC:10618	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
rs3917902	17:34252304-34252304	T	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000580907.6	protein_coding	-	-	-	-	-	-	-	-	-	rs3917902	2970	1	-	HGNC	HGNC:10618	-	-	2	-	-	-	0.0821	-	-	-	-	-	-	-	-	-
rs3917902	17:34252304-34252304	A	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000624362.2	retained_intron	-	-	-	-	-	-	-	-	-	rs3917902	2981	1	-	HGNC	HGNC:10618	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rs3917902	17:34252304-34252304	T	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000624362.2	retained_intron	-	-	-	-	-	-	-	-	-	rs3917902	2981	1	-	HGNC	HGNC:10618	-	-	-	-	-	-	0.0821	-	-	-	-	-	-	-	-	-
rs1024611	17:34252769-34252769	G	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000225831.4	protein_coding	-	-	-	-	-	-	-	-	-	rs1024611,CR032718	2516	1	-	HGNC	HGNC:10618	NM_002982.4	-	1	P1	-	-	0.3636	risk_factor,pathogenic	-	1,1	17903293,25383745,27099791,19773451,20811626,20622166,21955043,27730450,26662939,20040767,25919455,18698231,20103664,26843965,21160888,26648684,21204206,24069534,24281113,16672419,19347053,20196868,20725607,21160409,30475169,31396258,28501927,20111745,30123371,19156168,18464913,25959001,31299695,31044631,20068218,22807925,24078580,31479868,16719905,17848170,19357773,29608337,27642296,28525983,17062130,22384201,20339010,20947712,27739473,29696014,29016630,19506371,22347417,22733495,23427179,24083412,25266801,28458180,29057937,29145242,29352259,29733805,30816510,29664944,27472286,26524966,17763208,18940815,19841640,21556333,22384203,23166687,24495780,26788534,31495394,20431065,26277553,31388753,11500196,15466648,16078996,16352737,16596675,19032966,20111728,20125127,22425139,23049477,23996681,24053559,24164868,24720638,24786287,24809310,24975639,25119828,25154422,25289731,25413568,26244388,26626202,26802601,27316788,28095095,28472164,28623996,29164621,29233678,29458367,29694633,29995756,30368911,30761072,3120197	-	-	-	-	-
rs1024611	17:34252769-34252769	G	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000580907.6	protein_coding	-	-	-	-	-	-	-	-	-	rs1024611,CR032718	2505	1	-	HGNC	HGNC:10618	-	-	2	-	-	-	0.3636	risk_factor,pathogenic	-	1,1	17903293,25383745,27099791,19773451,20811626,20622166,21955043,27730450,26662939,20040767,25919455,18698231,20103664,26843965,21160888,26648684,21204206,24069534,24281113,16672419,19347053,20196868,20725607,21160409,30475169,31396258,28501927,20111745,30123371,19156168,18464913,25959001,31299695,31044631,20068218,22807925,24078580,31479868,16719905,17848170,19357773,29608337,27642296,28525983,17062130,22384201,20339010,20947712,27739473,29696014,29016630,19506371,22347417,22733495,23427179,24083412,25266801,28458180,29057937,29145242,29352259,29733805,30816510,29664944,27472286,26524966,17763208,18940815,19841640,21556333,22384203,23166687,24495780,26788534,31495394,20431065,26277553,31388753,11500196,15466648,16078996,16352737,16596675,19032966,20111728,20125127,22425139,23049477,23996681,24053559,24164868,24720638,24786287,24809310,24975639,25119828,25154422,25289731,25413568,26244388,26626202,26802601,27316788,28095095,28472164,28623996,29164621,29233678,29458367,29694633,29995756,30368911,30761072,3120197	-	-	-	-	-
rs1024611	17:34252769-34252769	G	upstream_gene_variant	MODIFIER	CCL2	ENSG00000108691	Transcript	ENST00000624362.2	retained_intron	-	-	-	-	-	-	-	-	-	rs1024611,CR032718	2516	1	-	HGNC	HGNC:10618	-	-	-	-	-	-	0.3636	risk_factor,pathogenic	-	1,1	17903293,25383745,27099791,19773451,20811626,20622166,21955043,27730450,26662939,20040767,25919455,18698231,20103664,26843965,21160888,26648684,21204206,24069534,24281113,16672419,19347053,20196868,20725607,21160409,30475169,31396258,28501927,20111745,30123371,19156168,18464913,25959001,31299695,31044631,20068218,22807925,24078580,31479868,16719905,17848170,19357773,29608337,27642296,28525983,17062130,22384201,20339010,20947712,27739473,29696014,29016630,19506371,22347417,22733495,23427179,24083412,25266801,28458180,29057937,29145242,29352259,29733805,30816510,29664944,27472286,26524966,17763208,18940815,19841640,21556333,22384203,23166687,24495780,26788534,31495394,20431065,26277553,31388753,11500196,15466648,16078996,16352737,16596675,19032966,20111728,20125127,22425139,23049477,23996681,24053559,24164868,24720638,24786287,24809310,24975639,25119828,25154422,25289731,25413568,26244388,26626202,26802601,27316788,28095095,28472164,28623996,29164621,29233678,29458367,29694633,29995756,30368911,30761072,3120197	-	-	-	-	-
rs1024611	17:34252769-34252769	G	regulatory_region_variant	MODIFIER	-	-	RegulatoryFeature	ENSR00000553887	promoter	-	-	-	-	-	-	-	-	-	rs1024611,CR032718	-	-	-	-	-	-	-	-	-	-	-	0.3636	risk_factor,pathogenic	-	1,1	17903293,25383745,27099791,19773451,20811626,20622166,21955043,27730450,26662939,20040767,25919455,18698231,20103664,26843965,21160888,26648684,21204206,24069534,24281113,16672419,19347053,20196868,20725607,21160409,30475169,31396258,28501927,20111745,30123371,19156168,18464913,25959001,31299695,31044631,20068218,22807925,24078580,31479868,16719905,17848170,19357773,29608337,27642296,28525983,17062130,22384201,20339010,20947712,27739473,29696014,29016630,19506371,22347417,22733495,23427179,24083412,25266801,28458180,29057937,29145242,29352259,29733805,30816510,29664944,27472286,26524966,17763208,18940815,19841640,21556333,22384203,23166687,24495780,26788534,31495394,20431065,26277553,31388753,11500196,15466648,16078996,16352737,16596675,19032966,20111728,20125127,22425139,23049477,23996681,24053559,24164868,24720638,24786287,24809310,24975639,25119828,25154422,25289731,25413568,26244388,26626202,26802601,27316788,28095095,28472164,28623996,29164621,29233678,29458367,29694633,29995756,30368911,30761072,3120197	-	-	-	-	-
